referrerId,kpi,referralCount,rewardAmount
0x4ea48e01f1314db0925653e30617b254d1cf5366,53626996,8,1878000000000000000000
0xdd304336cf878df7d2647435d5f57c2345b140c1,442986,1,170000000000000000000
0xe6e6c0ddf053822bbbc1f39218f30ea25fca58dd,871004146,7538,7571000000000000000000
0x99342d3ce2d10c34b7d20d960ea75bd742aec468,184620032,68,3485000000000000000000
0xe38a456433fff7814e40998cf0cbbbd2c885b513,13829085,3,954000000000000000000
0x2c2bc76b97bce84a5a9c6e2835ab13306b964cf1,3257312559,2411,14641000000000000000000
0x181313c4aab54fd818c727665c090dd4021d6429,576359,1,194000000000000000000
0x80dadebda19e5c010c4417985a4c05d0a8008a81,14446261,65,975000000000000000000
0x66582d24fead72555adac681cc621cacbb208324,49753634355,22917,57222000000000000000000
0x4821ced48fb4456055c86e42587f61c1f39c6315,137031707,4,3003000000000000000000
0xd59b83de618561c8ff4e98fc29a1b96abcbfb18a,204151545,229,3665000000000000000000
0x3e6e1f37249bb22d8543fdb0728716632eac24ac,10233529,7,820000000000000000000
0x60b979de2c961ac884e6a5d921cdbfa0f454eaa4,33024590,2,1474000000000000000000
0x6b3bc1b55b28380193733a2fd27f2639d92f14be,672457,1,210000000000000000000
0x7320f31d71a5294f04f7eeeb101418feed3d3119,14040403,4,961000000000000000000
0x5e23d5be257d9140d4c5b12654111a4d4e18d9b2,13649282,2,947000000000000000000
0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,2080148,2,369000000000000000000
0x124d8fad33e0b9fe9f3e1e90d0fc0055abe8ca8d,10488721,4,830000000000000000000
0x62bb362d63f14449398b79ebc46574f859a6045d,831964,32,233000000000000000000
0x20f50b8832f87104853df3fdda47dd464f885a49,2293095,2,388000000000000000000
